"Data generated on Sunday, February 7, 2021 at 8:13:36 PM EST",,,,,,,,
Area/Partners of Origin,,,,January - December,,,,
And General  Commodities Imported,,,,Values in Thousands of dollars,,,,
,,,,,,,,
,Partner,Product,2015,2016,2017,2018,2019,2020
1,World Total,Coffee & Coffee Pdts,6303949,5967501,6564853,5972920,6098563,6017005
1.1,Colombia,Coffee & Coffee Pdts,1305980,1186937,1356920,1237343,1259131,1211039
1.2,Brazil,Coffee & Coffee Pdts,1433454,1158782,1162845,1039334,1131787,1161325
1.3,Switzerland(*),Coffee & Coffee Pdts,118327,115101,185995,238142,360845,454427
1.4,Canada,Coffee & Coffee Pdts,445996,487160,542721,426915,407760,380949
1.5,Mexico,Coffee & Coffee Pdts,346185,269801,316002,318029,296414,305577
1.6,Guatemala,Coffee & Coffee Pdts,324943,260002,330674,326445,318654,303979
1.7,Vietnam,Coffee & Coffee Pdts,375089,512398,532683,407788,297251,301975
1.8,Nicaragua,Coffee & Coffee Pdts,233055,255997,288524,245700,264626,242616
1.9,Honduras,Coffee & Coffee Pdts,213554,241090,291109,206546,246049,237708
1.1,Indonesia,Coffee & Coffee Pdts,340741,306636,314563,291899,303981,237509
1.11,Peru,Coffee & Coffee Pdts,177038,230646,223003,211062,216100,216250
1.12,Costa Rica,Coffee & Coffee Pdts,172040,179316,142899,167685,147099,173969
1.13,Ethiopia(*),Coffee & Coffee Pdts,126348,98347,146679,139087,130139,130738
1.14,Italy(*),Coffee & Coffee Pdts,98370,102110,109596,112601,123804,92326
1.15,Germany(*),Coffee & Coffee Pdts,132631,140836,152323,132625,129410,82072
1.16,Uganda,Coffee & Coffee Pdts,24727,23083,33251,37103,39783,47417
1.17,Kenya,Coffee & Coffee Pdts,43671,38544,57819,42625,34379,44243
1.18,El Salvador,Coffee & Coffee Pdts,76001,49822,61839,52488,53411,43877
1.19,Papua New Guinea,Coffee & Coffee Pdts,43125,54052,43945,50576,42922,38095
1.2,India,Coffee & Coffee Pdts,30986,34342,47600,51275,40724,35915
1.21,China,Coffee & Coffee Pdts,28124,33669,38575,28143,29107,24350
1.22,Rwanda,Coffee & Coffee Pdts,23099,17258,19847,27551,24105,22658
1.23,Spain,Coffee & Coffee Pdts,12217,6950,9360,17617,25370,22312
1.24,Netherlands,Coffee & Coffee Pdts,16772,20994,18173,22213,19574,20294
1.25,Japan,Coffee & Coffee Pdts,916,2718,1532,967,1501,17727
1.26,"Korea, South",Coffee & Coffee Pdts,7905,8293,7508,8871,10792,17567
1.27,Poland,Coffee & Coffee Pdts,2227,1916,2452,2163,3322,15823
1.28,France(*),Coffee & Coffee Pdts,4026,5931,8207,9412,15097,15343
1.29,Malaysia,Coffee & Coffee Pdts,23574,9920,9238,9977,25144,12762
1.3,Tanzania,Coffee & Coffee Pdts,28642,19550,19695,22279,9178,10537
1.31,Russia,Coffee & Coffee Pdts,156,100,15,82,53,7590
1.32,Panama,Coffee & Coffee Pdts,7346,7114,6355,4915,8096,7334
1.33,Ecuador,Coffee & Coffee Pdts,15206,14840,11290,1914,1723,5913
1.34,United Kingdom,Coffee & Coffee Pdts,4034,3719,5397,4290,6334,5735
1.35,Jamaica,Coffee & Coffee Pdts,6245,4787,6470,4514,4330,4419
1.36,Bolivia,Coffee & Coffee Pdts,3008,2999,3199,3071,3384,4209
