"Data generated on Sunday, February 7, 2021 at 8:05:08 PM EST",,,,,,,,
Area/Partners of Destination,,,,January - December,,,,
And Commodities Exported,,,,Values in Thousands of dollars,,,,
,,,,,,,,
,Partner,Product,2015,2016,2017,2018,2019,2020
1,World Total,"Tea, Incl Herbl Tea",369618,376948,357756,376030,356159,336573
1.1,Canada,"Tea, Incl Herbl Tea",124113,130906,123732,123589,129994,115496
1.2,Mexico,"Tea, Incl Herbl Tea",30346,35713,31738,26463,38574,32281
1.3,Netherlands,"Tea, Incl Herbl Tea",11010,16446,14985,17898,16354,18478
1.4,Germany(*),"Tea, Incl Herbl Tea",11399,11386,11957,12717,12135,16975
1.5,Malaysia,"Tea, Incl Herbl Tea",5510,5051,4945,8933,8541,11713
1.6,Vietnam,"Tea, Incl Herbl Tea",2795,2393,3724,6180,7353,11584
1.7,China,"Tea, Incl Herbl Tea",14553,12293,11435,18248,13078,11246
1.8,"Korea, South","Tea, Incl Herbl Tea",9746,8289,9885,11495,9540,10293
1.9,Japan,"Tea, Incl Herbl Tea",10102,11625,13145,12725,10208,9093
1.1,Hong Kong,"Tea, Incl Herbl Tea",9508,7419,11126,10729,8098,8618
1.11,Indonesia,"Tea, Incl Herbl Tea",6580,11445,9687,9386,12537,6902
1.12,Australia(*),"Tea, Incl Herbl Tea",7851,7624,5541,5259,5250,6640
1.13,Peru,"Tea, Incl Herbl Tea",6419,7465,5795,5810,6871,5568
1.14,Singapore,"Tea, Incl Herbl Tea",5353,4644,7568,8714,6195,5167
1.15,United Kingdom,"Tea, Incl Herbl Tea",8398,7419,6508,7715,5977,4220
1.16,Taiwan,"Tea, Incl Herbl Tea",3791,5159,5413,5974,4895,3862
1.17,Colombia,"Tea, Incl Herbl Tea",4527,4669,3859,4596,4489,3846
1.18,Belgium-Luxembourg(*),"Tea, Incl Herbl Tea",6372,5561,4897,5808,4299,3455
1.19,Chile,"Tea, Incl Herbl Tea",2209,2711,2516,2774,2179,3449
1.2,Bolivia,"Tea, Incl Herbl Tea",4263,2789,3390,4523,1521,2811
1.21,South Africa,"Tea, Incl Herbl Tea",1419,1544,1513,2476,2643,2704
1.22,United Arab Emirates,"Tea, Incl Herbl Tea",3582,4658,3730,2184,2034,2522
1.23,Brazil,"Tea, Incl Herbl Tea",5081,3906,6076,5125,2855,2488
