"Data generated on Sunday, February 7, 2021 at 8:15:08 PM EST",,,,,,,,
Area/Partners of Origin,,,,January - December,,,,
And General  Commodities Imported,,,,Values in Thousands of dollars,,,,
,,,,,,,,
,Partner,Product,2015,2016,2017,2018,2019,2020
1,World Total,"Tea,Excpt Herbal Tea",725107,759695,701284,708120,728354,730908
1.1,China,"Tea,Excpt Herbal Tea",141891,152103,132554,140609,130978,114153
1.2,Canada,"Tea,Excpt Herbal Tea",89696,91936,97307,86456,97900,97060
1.3,Japan,"Tea,Excpt Herbal Tea",38558,46206,52724,63462,62574,81824
1.4,India,"Tea,Excpt Herbal Tea",67753,68589,70366,62660,68547,72010
1.5,Argentina,"Tea,Excpt Herbal Tea",84918,76706,76793,69691,64982,56166
1.6,Sri Lanka,"Tea,Excpt Herbal Tea",35442,37979,40022,45699,51256,42922
1.7,Germany(*),"Tea,Excpt Herbal Tea",70187,68290,35795,41295,33428,39317
1.8,Poland,"Tea,Excpt Herbal Tea",5571,5824,4707,6933,21090,24327
1.9,Taiwan,"Tea,Excpt Herbal Tea",13136,14513,14881,16866,19575,22141
1.1,United Kingdom,"Tea,Excpt Herbal Tea",16539,15531,14299,15921,15516,18753
1.11,Kenya,"Tea,Excpt Herbal Tea",20533,26712,27993,16880,11282,12684
1.12,Chile,"Tea,Excpt Herbal Tea",11421,13347,11480,12254,13130,11786
1.13,Mexico,"Tea,Excpt Herbal Tea",13367,12907,10152,9115,7889,10963
1.14,Malawi,"Tea,Excpt Herbal Tea",8182,20380,19246,14727,16547,10411
1.15,Indonesia,"Tea,Excpt Herbal Tea",6771,9022,7231,7232,11628,7967
1.16,Ireland,"Tea,Excpt Herbal Tea",3824,3913,3345,3902,4002,7549
1.17,Vietnam,"Tea,Excpt Herbal Tea",10539,8128,8711,8333,7004,6714
1.18,Thailand,"Tea,Excpt Herbal Tea",4956,4376,5260,5700,6721,6690
1.19,Nigeria,"Tea,Excpt Herbal Tea",3309,2485,3508,8350,8140,6647
1.2,"Korea, South","Tea,Excpt Herbal Tea",8353,9493,2776,5582,3767,6428
1.21,United Arab Emirates,"Tea,Excpt Herbal Tea",2123,2938,3917,3289,3941,6093
1.22,Pakistan,"Tea,Excpt Herbal Tea",2788,3177,3734,3926,3534,5981
1.23,Egypt,"Tea,Excpt Herbal Tea",4513,3660,4259,4146,5706,5858
1.24,Italy(*),"Tea,Excpt Herbal Tea",5465,4489,4347,4543,9094,5760
1.25,Brazil,"Tea,Excpt Herbal Tea",6351,6149,4842,4149,5536,5341
1.26,France(*),"Tea,Excpt Herbal Tea",4111,3872,4692,5245,5770,4666
1.27,Bulgaria,"Tea,Excpt Herbal Tea",1694,1671,1633,2862,2045,3510
1.28,Zimbabwe,"Tea,Excpt Herbal Tea",1925,2478,3191,4687,4402,3464
1.29,Spain,"Tea,Excpt Herbal Tea",1609,1487,1430,2538,1856,3147
1.3,Ecuador,"Tea,Excpt Herbal Tea",2326,2111,2183,2490,2577,2689
1.31,South Africa,"Tea,Excpt Herbal Tea",2685,3472,2731,4480,2774,2464
